fen,action,score,result
8/8/3b4/3bwww1/2bwb3/3wb3/8/5b2 b,"(8, 4)",-100,-1
8/5b2/8/8/1b6/8/2w5/8 b,"(5, 4)",0
8/5b2/8/4w3/1b1b4/8/2w5/8 w,"(4, 5)",0
8/5b2/8/4w3/1b1b4/8/2w5/8 b,"(3, 5)",0
8/5b2/8/2b1w3/1bwb4/8/2w5/8 w,"(3, 4)",0
8/5b2/8/2b1w3/1bwb4/8/2w5/8 b,"(4, 6)",0
8/5b2/8/2b1w3/1bwbb3/3w4/2w5/8 w,"(5, 5)",0
8/5b2/8/2b1w3/1bwbb3/3w4/2w5/8 b,"(5, 3)",0
8/5b2/4w3/2b1wb2/1bwbb3/3w4/2w5/8 w,"(6, 4)",0
8/5b2/4w3/2b1wb2/1bwbb3/3w4/2w5/8 b,"(4, 4)",-50
8/5b2/4w3/2bwwb2/1bwbbb2/3w4/2w5/8 w,"(6, 5)",50
8/5b2/4w3/2bwwb2/1bwbbb2/3w4/2w5/8 b,"(2, 6)",-100,-1
b1w1wbwb/2w3wb/1ww4w/b1bw4/2w2bbb/1bw4w/1w1b1b2/1b5b b,"(5, 5)",-50
b1w1wbwb/1bw3wb/1ww4w/b1bw4/2w1wbbb/1bw4w/1w1b1b2/1b5b w,"(2, 2)",-50
b1w1wbwb/1bw3wb/1ww4w/b1bw4/2w1wbbb/1bw4w/1w1b1b2/1b5b b,"(6, 6)",-100,-1
3w4/w1bb1b1w/b3ww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wb2b1bb/2ww2b1 w,"(1, 5)",50
3w4/w1bb1b1w/b3ww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wb2b1bb/2ww2b1 b,"(3, 3)",-50
3w4/w1bb1b1w/b1wbww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wb2b1bb/2ww2b1 w,"(4, 3)",50
3w4/w1bb1b1w/b1wbww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wb2b1bb/2ww2b1 b,"(2, 1)",-50
1w1w4/w1bb1b1w/b1wbww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wb1bb1bb/2ww2b1 w,"(4, 7)",50
1w1w4/w1bb1b1w/b1wbww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wb1bb1bb/2ww2b1 b,"(3, 7)",50
1w1w4/w1bbbb1w/b1wbww1b/wwb1b1b1/bwbw1w1b/w3w1bw/wbwbb1bb/2ww2b1 w,"(5, 2)",100,1
3w4/8/8/8/4b3/8/8/5b2 w,"(5, 5)",0
3w4/8/8/8/4b3/8/8/5b2 b,"(4, 5)",0
3w4/8/8/4b3/3wb3/8/8/5b2 w,"(5, 4)",0
3w4/8/8/4b3/3wb3/8/8/5b2 b,"(4, 6)",0
3w4/8/4b3/4b3/3wb3/3w4/8/5b2 w,"(5, 3)",50
3w4/8/4b3/4b3/3wb3/3w4/8/5b2 b,"(5, 2)",50
3w4/4w3/4b3/4b3/3wb3/3wb3/8/5b2 w,"(5, 6)",100,1
